name,dtype
id,int64
datelastmodified,"timestamp[us, tz=UTC]"
datasetid,int32
institutioncode,string
collectioncode,string
eventid,string
observationdate,"timestamp[us, tz=UTC]"
season,string
yearcollected,int16
startyearcollected,int16
endyearcollected,int16
monthcollected,int16
startmonthcollected,int16
endmonthcollected,int16
daycollected,int16
startdaycollected,int16
enddaycollected,int16
timeofday,double
starttimeofday,double
endtimeofday,double
timezone,string
continentocean,string
country,string
stateprovince,string
county,string
collectornumber,string
fieldnumber,string
longitude,double
startlongitude,double
endlongitude,double
latitude,double
startlatitude,double
endlatitude,double
coordinateprecision,double
verbatimpositiondetail,string
minimumdepth,double
maximumdepth,double
occurrenceid,string
scientificname,string
aphiaid,int32
taxonrank,int16
rankname,string
scientificname_accepted,string
scientificnameauthor,string
aphiaidaccepted,int32
kingdom,string
phylum,string
class,string
order,string
family,string
genus,string
subgenus,string
species,string
subspecies,string
occurrenceremarks,string
basisofrecord,string
typestatus,string
catalognumber,string
recordurl,string
collector,string
identifiedby,string
yearidentified,int16
monthidentified,int16
dayidentified,int16
preparationtype,string
samplingeffort,string
samplingprotocol,string
eurobis_unique_positions_id,int32
julianday,string
startjulianday,int16
endjulianday,int16
coordinateprecision_category,int16
start_endcoordinateprecision,double
boundingbox,string
minimumelevation,double
maximumelevation,double
depthrange,string
temperature,double
individualcount,double
observedweight,double
previouscatalognumber,string
relationshiptype,string
relatedcatalogitem,string
samplesize,string
qc,int16
datageneralizations,string
eventremarks,string
locationremarks,string
associatedsequences,string
associatedmedia,string
organismid,string
geodeticdatum,string
dynamicproperties,string
identificationverificationstatus,string
identificationreferences,string
organismquantity,string
organismquantitytype,string
samplesizevalue,float
samplesizeunit,string
materialsampleid,string
taxonconceptid,string
seasonid,int16
dataprovider_id,int32
parameter,string
parameter_value,string
parameter_group_id,int32
parameter_measurementtypeid,string
parameter_bodcterm,string
parameter_bodcterm_definition,string
parameter_standardunit,string
parameter_standardunitid,string
parameter_imisdasid,int32
parameter_ipturl,string
parameter_original_measurement_type,string
parameter_original_measurement_unit,string
parameter_conversion_factor_to_standard_unit,string
parameter_measurementid,string
event_id,string
eventtype,string
eventtype_id,int32
occurrenceid_unique,int32
geoobjectsids,list<element: int32>
geoid,list<element: int32>
datetime,"timestamp[us, tz=UTC]"
time_precision,int16
measurement_type_group_ids,list<element: int32>
dnaderived,bool
verbatimidentification,string
higherclassification,string
taxonid,string
eventdate,string
starteventdate,date32[day]
endeventdate,date32[day]
dataset_uri,string
scientificnameid,string
aphiaid_uri,string
aphiaidaccepted_uri,string
parameter_imisdasid_uri,string
the_geom,binary
